"Year","Winter","Spring","Summer","Fall"
1980,290192717,807164737,417241206,759090245
1981,182306709,914365640,625156771,549354121
1982,369147213,1051921271,592795356,808980145
1983,262160476,947846921,622934942,698066904
1984,549133724,1181137667,584398884,849812255
1985,483354613,681004774,783693383,904179169
1986,492127495,874868892,693506994,925614968
1987,461743551,829048391,958490528,1067745905
1988,452661900,1021700664,693545432,1100346010
1989,409369548,1355276736,885597686,1272608631
1990,711129344,877556725,1156572144,1456504366
1991,712272263,998351864,946559097,1356157662
1992,795795267,1080727568,963014882,1498963525
1993,530737077,1315707624,1203630549,1443675197
1994,659504134,1128233800,1408826950,1413175896
1995,518505429,1529331408,1139438384,1606562785
1996,726898513,1349518873,1266733594,1702084044
1997,1002913754,1351797627,1508408822,2250823952
1998,593743383,1487251062,1718100158,2072389729
1999,959872573,1847898264,1801426712,2022954720
2000,1043246995,1928178664,1523151140,2456406305
2001,954113964,1891857310,1796173878,2697494469
2002,1365527535,2579104797,1668559014,2491192974
2003,1139789165,2233129276,2002325705,2733077516
2004,1364183425,2826139097,1437900323,2695698004
2005,1286380584,2375166049,1650026244,2385989211
2006,1455698024,2313816039,1726117719,2392830081
2007,1500711954,2289183844,2206467577,2513289309
2008,1308707109,2525355378,2062085447,2593235871
2009,1754434219,2808211633,2055716499,3245339872
2010,1797024696,2758431276,2040785707,2721768576
2011,1336988443,3084103388,2166144431,2470452602
2012,2128206882,2829069662,2145353677,2932235433
2013,1584292148,2990122127,2393486443,3091786804
2014,1618954371,2761000928,2071261497,3133788235
2015,1689068638,3072264642,2332599744,3227422935
2016,2004498972,2568219571,2662495117,3146704082
2017,2311466284,2588865433,1957911117,3412835350
